source,target,weight,shared_topics
langchain-ai/langchain,mem0ai/mem0,7,agents|ai|ai-agents|chatgpt|llm|python|rag
apache/superset,metabase/metabase,6,analytics|bi|business-intelligence|data-analysis|data-visualization|sql-editor
HKUDS/LightRAG,microsoft/graphrag,5,gpt|gpt-4|graphrag|llm|rag
Tencent/WeKnora,langchain-ai/langchain,5,ai|generative-ai|llm|openai|rag
apache/superset,evidence-dev/evidence,5,analytics|business-intelligence|data-engineering|data-science|data-visualization
great-expectations/great_expectations,ydataai/ydata-profiling,5,data-profiling|data-quality|data-science|eda|exploratory-data-analysis
huggingface/transformers,vllm-project/vllm,5,deepseek|llm|pytorch|qwen|transformer
recommenders-team/recommenders,ydataai/ydata-profiling,5,data-science|deep-learning|jupyter-notebook|machine-learning|python
streamlit/streamlit,ydataai/ydata-profiling,5,data-analysis|data-science|deep-learning|machine-learning|python
apache/superset,streamlit/streamlit,4,data-analysis|data-science|data-visualization|python
evidence-dev/evidence,metabase/metabase,4,analytics|business-intelligence|dashboard|data-visualization
huggingface/transformers,ydataai/ydata-profiling,4,deep-learning|hacktoberfest|machine-learning|python
langchain-ai/langchain,run-llama/llama_index,4,agents|framework|llm|rag
mem0ai/mem0,run-llama/llama_index,4,agents|application|llm|rag
pandas-dev/pandas,ydataai/ydata-profiling,4,data-analysis|data-science|pandas|python
recommenders-team/recommenders,streamlit/streamlit,4,data-science|deep-learning|machine-learning|python
statsmodels/statsmodels,ydataai/ydata-profiling,4,data-analysis|data-science|python|statistics
HKUDS/LightRAG,mem0ai/mem0,3,genai|llm|rag
Tencent/WeKnora,mem0ai/mem0,3,ai|llm|rag
apache/superset,mwaskom/seaborn,3,data-science|data-visualization|python
apache/superset,pandas-dev/pandas,3,data-analysis|data-science|python
apache/superset,statsmodels/statsmodels,3,data-analysis|data-science|python
apache/superset,ydataai/ydata-profiling,3,data-analysis|data-science|python
dbt-labs/dbt-core,metabase/metabase,3,analytics|business-intelligence|slack
evidence-dev/evidence,great-expectations/great_expectations,3,data-engineering|data-science|exploratory-data-analysis
huggingface/transformers,recommenders-team/recommenders,3,deep-learning|machine-learning|python
huggingface/transformers,streamlit/streamlit,3,deep-learning|machine-learning|python
mwaskom/seaborn,pandas-dev/pandas,3,data-science|pandas|python
mwaskom/seaborn,streamlit/streamlit,3,data-science|data-visualization|python
mwaskom/seaborn,ydataai/ydata-profiling,3,data-science|pandas|python
pandas-dev/pandas,statsmodels/statsmodels,3,data-analysis|data-science|python
pandas-dev/pandas,streamlit/streamlit,3,data-analysis|data-science|python
statsmodels/statsmodels,streamlit/streamlit,3,data-analysis|data-science|python
HKUDS/LightRAG,Tencent/WeKnora,2,llm|rag
HKUDS/LightRAG,langchain-ai/langchain,2,llm|rag
HKUDS/LightRAG,run-llama/llama_index,2,llm|rag
HKUDS/LightRAG,vllm-project/vllm,2,gpt|llm
Tencent/WeKnora,microsoft/graphrag,2,llm|rag
Tencent/WeKnora,run-llama/llama_index,2,llm|rag
Tencent/WeKnora,vllm-project/vllm,2,llm|openai
TobikoData/sqlmesh,evidence-dev/evidence,2,dbt|sql
apache/superset,dbt-labs/dbt-core,2,analytics|business-intelligence
apache/superset,great-expectations/great_expectations,2,data-engineering|data-science
apache/superset,pymc-labs/pymc-marketing,2,data-science|python
apache/superset,recommenders-team/recommenders,2,data-science|python
dbt-labs/dbt-core,evidence-dev/evidence,2,analytics|business-intelligence
duckdb/duckdb,evidence-dev/evidence,2,analytics|sql
duckdb/duckdb,metabase/metabase,2,analytics|database
evidence-dev/evidence,mwaskom/seaborn,2,data-science|data-visualization
evidence-dev/evidence,streamlit/streamlit,2,data-science|data-visualization
evidence-dev/evidence,ydataai/ydata-profiling,2,data-science|exploratory-data-analysis
facebook/prophet,statsmodels/statsmodels,2,forecasting|python
getzep/graphiti,langchain-ai/langchain,2,agents|rag
getzep/graphiti,mem0ai/mem0,2,agents|rag
getzep/graphiti,microsoft/graphrag,2,llms|rag
getzep/graphiti,run-llama/llama_index,2,agents|rag
huggingface/transformers,langchain-ai/langchain,2,llm|python
huggingface/transformers,mem0ai/mem0,2,llm|python
langchain-ai/langchain,microsoft/graphrag,2,llm|rag
langchain-ai/langchain,recommenders-team/recommenders,2,ai|python
langchain-ai/langchain,vllm-project/vllm,2,llm|openai
mem0ai/mem0,microsoft/graphrag,2,llm|rag
mem0ai/mem0,recommenders-team/recommenders,2,ai|python
metabase/metabase,plotly/plotly.py,2,dashboard|visualization
metabase/metabase,streamlit/streamlit,2,data-analysis|data-visualization
microsoft/graphrag,run-llama/llama_index,2,llm|rag
microsoft/graphrag,vllm-project/vllm,2,gpt|llm
mwaskom/seaborn,pymc-labs/pymc-marketing,2,data-science|python
mwaskom/seaborn,recommenders-team/recommenders,2,data-science|python
mwaskom/seaborn,statsmodels/statsmodels,2,data-science|python
pandas-dev/pandas,pymc-labs/pymc-marketing,2,data-science|python
pandas-dev/pandas,recommenders-team/recommenders,2,data-science|python
plotly/plotly.py,recommenders-team/recommenders,2,jupyter-notebook|python
plotly/plotly.py,ydataai/ydata-profiling,2,jupyter-notebook|python
py-why/EconML,uber/causalml,2,causal-inference|machine-learning
pymc-labs/pymc-marketing,recommenders-team/recommenders,2,data-science|python
pymc-labs/pymc-marketing,statsmodels/statsmodels,2,data-science|python
pymc-labs/pymc-marketing,streamlit/streamlit,2,data-science|python
pymc-labs/pymc-marketing,ydataai/ydata-profiling,2,data-science|python
recommenders-team/recommenders,statsmodels/statsmodels,2,data-science|python
