slug,title,section,words,in_links,out_links,n_external,last_modified
/handbook/hiring,Hiring & Talent Acquisition Handbook,hiring,435,49,8,6,
/handbook/people-group,People Group,people-group,2995,14,17,43,
/handbook/people-group/time-off-and-absence/time-off-types,Time Off Types,people-group,4614,8,3,4,
/handbook/people-group/learning-and-development/growth-and-development,Growth and Development Fund,people-group,1727,7,2,3,
/handbook/people-group/guidance-on-feedback,Guidance on Feedback,people-group,1976,6,1,22,
/handbook/people-group/learning-and-development/career-development,Career Development and Mobility,people-group,2507,6,2,10,
/handbook/people-group/team-member-relations,Team Member Relations at GitLab,people-group,817,6,1,2,
/handbook/people-group/360-feedback,360 Feedback,people-group,2333,5,1,1,
/handbook/people-group/relocation,Relocation,people-group,6908,5,5,49,
/handbook/hiring/candidate-faq,Candidate Handbook Page,hiring,2849,4,7,11,
/handbook/people-group/learning-and-development,Talent Development,people-group,1690,4,0,9,
/handbook/people-group/promotions-transfers,Promotions and Transfers,people-group,15632,4,16,59,
/handbook/people-group/visas,Visas,people-group,6876,4,2,34,
/handbook/hiring/interviewing,Interviewer Prep Requirements,hiring,908,3,1,2,
/handbook/people-group/contracts-probation-periods,"Contracts, Background Screenings, Probation Periods & PIAA",people-group,5385,3,5,24,
/handbook/people-group/learning-and-development/career-development/igp-guide,Your Individual Growth Plan (IGP) Journey,people-group,1126,3,2,13,
/handbook/people-group/offboarding/faq,GitLab Offboarding FAQ,people-group,2161,3,2,11,
/handbook/people-group/people-ops-tech-analytics/people-analytics,People Analytics,people-group,569,3,4,9,
/handbook/people-group/people-ops-tech-analytics/people-analytics/people-tableau,People Analytics Tableau Dashboard Overview,people-group,837,3,0,18,
/handbook/people-group/talent-assessment,Talent Assessment,people-group,13483,3,11,25,
/handbook/hiring/conducting-a-gitlab-interview,Conducting a GitLab Interview,hiring,3936,2,0,6,
/handbook/hiring/job-description-library,Job Description Library Overview,hiring,2583,2,2,16,
/handbook/hiring/referral-operations,Referral Operations,hiring,1023,2,1,2,
/handbook/hiring/referral-process,Referral Program and Process,hiring,1903,2,1,5,
/handbook/people-group/employment-branding,Talent brand,people-group,3820,2,4,24,
/handbook/people-group/employment-branding/content-library,Content library - life at GitLab,people-group,1769,2,0,96,
/handbook/people-group/general-onboarding,GitLab Onboarding,people-group,1376,2,4,17,
/handbook/people-group/general-onboarding/onboarding-buddies,GitLab Onboarding Buddies,people-group,1868,2,1,6,
/handbook/people-group/givelab-volunteer-initiatives,GiveLab Volunteer Initiatives,people-group,558,2,1,12,
/handbook/people-group/incident-response,Incident Response,people-group,568,2,2,5,
/handbook/people-group/learning-and-development/elevate-programs/elevate,Elevate,people-group,1370,2,0,0,
/handbook/people-group/learning-and-development/growth-and-development/tax,Tax Impacts of Different Growth & Development Benefits,people-group,1645,2,0,1,
/handbook/people-group/offboarding,GitLab Offboarding,people-group,5804,2,3,29,
/handbook/people-group/offboarding/offboarding_standards,GitLab Offboarding Standards,people-group,1179,2,2,9,
/handbook/people-group/people-business-partners,People Business Partner Team,people-group,33,2,0,1,
/handbook/people-group/people-compliance,Global People Compliance at GitLab,people-group,208,2,0,1,
/handbook/people-group/talent-development-program,Talent Development Program,people-group,158,2,4,2,
/handbook/people-group/time-off-and-absence/leave-types,Leave Types,people-group,2840,2,1,2,
/handbook/hiring/candidate-faq/recruitment-privacy-policy,Recruitment Privacy Policy,hiring,1110,1,0,2,
/handbook/hiring/interviewing/technical,Technical Interviews,hiring,459,1,1,4,
/handbook/people-group/celebrations,"New Hires, Celebrations and Significant Life Events",people-group,847,1,1,8,
/handbook/people-group/competencies,Competencies,people-group,877,1,7,13,
/handbook/people-group/directly-responsible-individuals,Directly Responsible Individuals (DRI),people-group,1082,1,1,3,
/handbook/people-group/employment-solutions,Employment Solutions - Overview,people-group,1057,1,0,4,
/handbook/people-group/engagement,Engagement Surveys and Employer Awards,people-group,6648,1,1,69,
/handbook/people-group/general-onboarding/mr-buddies,Merge Request Buddies,people-group,284,1,0,2,
/handbook/people-group/learning-and-development/elevate-programs,Elevate Programs,people-group,184,1,4,0,
/handbook/people-group/learning-and-development/elevate-programs/elevate-applied,Elevate Applied,people-group,534,1,0,6,
/handbook/people-group/learning-and-development/elevate-programs/elevate-prep,ElevatePrep,people-group,1009,1,0,0,
/handbook/people-group/learning-and-development/elevate-programs/elevateplus,Elevate+,people-group,645,1,0,0,
/handbook/people-group/learning-and-development/hone,Hone Partnership,people-group,592,1,1,2,
/handbook/people-group/learning-and-development/internship-for-learning,Internship for Learning,people-group,656,1,1,2,
/handbook/people-group/learning-and-development/level-up,LevelUp,people-group,3162,1,0,5,
/handbook/people-group/orientation-identity,Gender and Sexual Orientation Identity Definitions and FAQ,people-group,2475,1,2,20,
/handbook/people-group/people-ops-tech-analytics/people-analytics/data-governance,People Analytics Data Governance,people-group,1092,1,0,0,
/handbook/people-group/people-ops-tech-analytics/people-analytics/data-guide,Data Guide to People Data Analysis,people-group,4200,1,6,21,
/handbook/people-group/people-ops-tech-analytics/people-analytics/office-hours,People Analytics Office Hours,people-group,864,1,3,3,
/handbook/people-group/people-ops-tech-analytics/people-analytics/survey-support,People Analytics Survey Support,people-group,1131,1,1,5,
/handbook/people-group/promotion-document-style-guide,Promotion Document Style Guide,people-group,630,1,0,0,
/handbook/people-group/pronouns,Pronoun Guidance and Information,people-group,1594,1,0,15,
/handbook/people-group/time-off-and-absence/time-away-philosophy,Time Away Philosophy,people-group,2520,1,3,7,
/handbook,The Handbook,_index.md,101,0,0,4,
/handbook/hiring/interviewing/customer-support-interviewing,Interviewing at GitLab - Customer Support,hiring,1927,0,2,12,
/handbook/hiring/interviewing/infrastructure-interview,Interviewing at GitLab - Infrastructure,hiring,1420,0,1,5,
/handbook/hiring/interviewing/panel,Panel Interviews,hiring,354,0,0,0,
/handbook/hiring/talent-acquisition-framework/coordinator,Candidate Experience Specialist Responsibilities,hiring,20058,0,22,42,
/handbook/hiring/talent-acquisition-framework/internal-hiring-process,Internal Hiring Process,hiring,2648,0,8,7,
/handbook/people-group/acceptable-use-policy,GitLab Internal Acceptable Use Policy,people-group,2805,0,0,18,
/handbook/people-group/anti-harassment,Anti-Harassment Policy,people-group,5674,0,5,16,
/handbook/people-group/employment-branding/people-communications,People communications & team member engagement,people-group,3485,0,0,13,
/handbook/people-group/general-onboarding/tanewki-tips,TaNewKi Tips,people-group,2554,0,1,17,
/handbook/people-group/learning-and-development/learning-initiatives,Learning Initiatives,people-group,76,0,0,0,
/handbook/people-group/learning-and-development/manager-development,Transitioning to a manager role,people-group,1135,0,1,8,
/handbook/people-group/learning-and-development/mentor,Mentoring at GitLab,people-group,2727,0,3,21,
/handbook/people-group/learning-and-development/self-paced-learning,Self-Paced External Trainings,people-group,513,0,2,4,
/handbook/people-group/learning-and-development/team-workshops,Team Workshops,people-group,175,0,0,1,
/handbook/people-group/organizational-change-management,Organizational Change Management,people-group,1855,0,1,8,
/handbook/people-group/people-group-program-management,People Group Program Management,people-group,263,0,1,2,
/handbook/people-group/people-operations,GitLab People Operations Team,people-group,741,0,1,0,
/handbook/people-group/people-ops-tech-analytics,People Operations Team,people-group,840,0,6,18,
/handbook/people-group/quarterly-talent-review,Quarterly Talent Review (QTR),people-group,661,0,0,0,
/handbook/people-group/time-off-and-absence,Time Off and Absence at GitLab,people-group,177,0,0,0,
